           G1           G12           G32           G24           G22           G14           G11            G4           G18           G31           G17            G3           G25           G26           G29 
 25340585.737  23791526.092  24174560.583  25674166.391  23011643.935  22224799.308             0             0             0             0             0             0             0             0             0 
 25358906.882  23809907.795  24192484.838  25693215.202  23030446.345  22243151.205             0             0             0             0             0             0             0             0             0 
 25377227.532  23828289.029  24210408.581  25712263.429  23049248.405    22261495.3   26379361.29             0             0             0             0             0             0             0             0 
 25395548.887  23846670.973  24228332.953  25731312.251  23068051.246  22279850.186  26398072.106             0             0             0             0             0             0             0             0 
 25413869.769  23865052.469  24246256.784  25750360.518   23086853.85  22298198.062  26416775.927             0             0             0             0             0             0             0             0 
 25432191.447   23883434.78  24264181.391  25769409.468  23105657.179  22316559.053             0             0             0             0             0             0             0             0             0 
 25450512.639  23901816.647  24282105.466  25788457.858  23124459.949  22334906.515             0             0             0             0             0             0             0             0             0 
 25468834.581  23920199.278  24300030.233  25807506.896  23143263.183  22353264.502   26472895.69             0             0             0             0             0             0             0             0 
 25487156.131   23938581.55  24317954.565  25826555.441  23162065.975  22371617.603             0             0             0             0             0             0             0             0             0 
 25505478.397  23956964.533  24335879.567  25845604.611  23180869.458  22389974.348             0             0             0             0             0             0             0             0             0 
 25523800.221  23975347.102   24353804.08  25864653.229  23199672.661  22408332.035             0             0             0             0             0             0             0             0             0 
 25542122.804  23993730.424  24371729.288   25883702.53  23218476.654  22426685.316             0             0             0             0             0             0             0             0             0 
 25560444.914  24012113.292  24389654.003  25902751.262  23237280.102  22445047.711             0             0             0             0             0             0             0             0             0 
  25578767.79  24030496.935  24407579.358  25921800.645  23256084.216  22463407.283             0             0             0             0             0             0             0             0             0 
 25597090.157  24048880.088  24425504.171  25940849.419   23274887.71  22481752.235  26603910.281             0             0             0             0             0             0             0             0 
 25615413.267  24067263.997  24443429.661  25959898.843  23293691.918  22500123.799  26622622.243             0             0             0             0             0             0             0             0 
 25633735.963  24085647.511  24461354.727  25978947.745  23312495.708  22518478.008  26641323.281             0             0             0             0             0             0             0             0 
 25652059.368  24104031.712   24479280.42  25997997.242  23331299.981  22536829.379             0             0             0             0             0             0             0             0             0 
 25670382.343  24122415.494  24497205.657    26017046.2  23350103.711  22555193.197  26678738.381             0             0             0             0             0             0             0             0 
 25688706.061   24140800.03  24515131.583  26036095.808  23368908.282  22573549.832  26697449.684             0             0             0             0             0             0             0             0 
 25707029.416  24159184.226   24533057.07  26055144.962  23387712.526  22591897.996             0             0             0             0             0             0             0             0             0 
 25725353.544  24177569.231   24550983.24  26074194.789  23406517.532  22610252.303             0             0             0             0             0             0             0             0             0 
 25743677.208  24195953.795   24568908.93  26093244.055   23425322.04  22628610.931             0             0             0             0             0             0             0             0             0 
 25762001.632  24214339.138  24586835.303   26112293.96  23444127.233  22646984.843             0             0             0             0             0             0             0             0             0 
 25780325.659  24232724.103  24604761.238   26131343.38  23462931.923  22665351.219             0             0             0             0             0             0             0             0             0 
 25798650.375   24251109.75  24622687.785  26150393.379  23481704.762  22683723.072  26809803.198             0             0             0             0             0             0             0             0 
  25816974.57  24269494.896  24640613.802  26169442.793   23500499.46   22702101.47             0  25442477.973             0             0             0             0             0             0             0 
 25835299.457  24287880.718  24658540.427  26188492.779  23519295.438  22720482.895  26849237.483             0             0             0             0             0             0             0             0 
 25853623.906  24306266.109  24676466.552  26207542.245   23538111.11   22738854.07             0             0             0             0             0             0             0             0             0 
 25871949.168  24324652.326  24694393.396  26226592.428  23556915.162   22757203.59             0             0             0             0             0             0             0             0             0 
 25890273.957  24343038.112  24712319.723  26245642.019   23575719.73  22775550.119             0  25517150.734             0             0             0             0             0             0             0 
 25908599.459  24361424.628  24730246.711  26264692.254  23594518.471  22793904.744  26922844.065             0             0             0             0             0             0             0             0 
 25926924.567  24379810.761  24748173.292  26283741.971  23613330.354  22812257.128             0             0             0             0             0             0             0             0             0 
 25945250.365  24398197.618  24766100.473  26302792.304  23632127.519  22830608.927  26959470.651             0             0             0             0             0             0             0             0 
 25963575.699  24416584.021  24784027.101  26321842.055   23650937.41  22848958.579  26978180.497             0             0             0             0             0             0             0             0 
 25981901.772  24434971.139  24801954.441  26340892.444  23669736.024  22867309.548   26996885.88             0             0             0             0             0             0             0             0 
 26000227.368  24453357.817  24819881.277  26359942.286  23688550.875  22885658.842             0             0             0             0             0             0             0             0             0 
 26018553.764  24471745.289  24837808.842  26378992.819  23707355.783  22904018.196             0             0             0             0             0             0             0             0             0 
 26036879.606  24490132.227  24855735.828  26398042.678  23726157.854  22922357.437  27053048.161             0             0             0             0             0             0             0             0 
 26055206.199  24508519.921  24873663.529  26417093.211  23744964.887   22940723.59  27071740.022             0             0             0             0             0             0             0             0 
 26073532.304  24526907.132   24891590.71  26436143.139   23763766.56  22959080.807             0             0             0             0             0             0             0             0             0 
  26091859.14  24545295.073   24909518.54  26455193.717  23782581.298  22977435.379  27109167.123             0             0             0             0             0             0             0             0 
 26110185.515  24563682.563  24927445.878  26474243.727  23801392.229  22995812.376  27127876.848             0             0             0             0             0             0             0             0 
 26128512.626  24582070.783   24945373.89  26493294.382  23820198.134  23014183.695  27146597.441             0             0             0             0             0             0             0             0 
 26146839.192  24600458.449  24963301.323  26512344.379  23838994.276  23032539.611             0             0             0             0             0             0             0             0             0 
 26165166.436  24618846.798  24981229.409  26531394.944  23857788.156  23050905.749             0             0             0             0             0             0             0             0             0 
 26183493.227  24637234.736  24999157.033  26550444.957  23876602.505  23069273.984             0             0             0             0             0             0             0             0             0 
 26201820.724  24655623.419  25017085.321  26569495.611  23895394.617   23087631.03  27221454.574             0             0             0             0             0             0             0             0 
 26220147.774  24674011.698  25035013.166  26588545.727  23914199.017  23105982.231             0             0             0             0             0             0             0             0             0 
 26238475.579  24692400.746  25052941.705  26607596.504  23932998.997  23124344.771             0  25871787.666             0             0             0             0             0             0             0 
 26256802.934  24710789.354   25070869.79  26626646.738  23951808.151  23142718.146   27277631.71             0             0             0             0             0             0             0             0 
 26275130.968  24729178.679  25088798.503  26645697.553  23970609.379  23161075.833  27296319.883             0             0             0             0             0             0             0             0 
  26293458.43  24747567.464  25106726.624   26664747.71  23989408.908   23179432.67             0             0             0             0             0             0             0             0             0 
 26311786.634  24765957.024  25124655.416  26683798.508   24008219.43  23197791.606             0             0             0             0             0             0             0             0             0 
 26330114.381  24784346.147   25142583.71  26702848.725  24027027.269   23216165.37             0             0             0             0             0             0             0             0             0 
 26348442.892  24802736.074  25160512.707   26721899.63  24045851.324  23234521.234  27371235.507             0             0             0             0             0             0             0             0 
 26366770.871  24821125.484  25178441.133  26740949.864  24064671.499  23252879.135             0             0             0             0             0             0             0             0             0 
 26385099.647  24839515.701  25196370.256  26760000.834  24083488.659  23271232.953             0             0             0             0             0             0             0             0             0 
 26403427.868  24857905.383  25214298.811  26779051.151  24102306.539  23289590.465             0             0             0             0             0             0             0             0             0 
 26421756.778  24876295.747  25232227.947  26798102.043  24121123.104  23307956.315             0             0             0             0             0             0             0             0             0 
 26440085.262  24894685.714  25250156.652  26817152.408  24139940.638  23326326.643  27464878.175             0             0             0             0             0             0             0             0 
 26458414.467  24913076.406  25268085.997  26836203.392   24158737.06  23344687.516  27483593.673             0             0             0             0             0             0             0             0 
 26476743.266  24931466.707  25286014.907  26855253.896  24177556.443  23363054.187  27502295.456             0             0             0             0             0             0             0             0 
 26495072.763  24949857.707  25303944.433  26874304.987  24196362.501  23381419.819             0             0             0             0             0             0             0             0             0 
   26513401.7  24968248.149  25321873.361   26893355.42  24215177.396  23399777.245             0             0             0             0             0             0             0             0             0 
 26531731.435  24986639.384  25339802.999  26912406.539  24233962.864  23418136.934             0             0             0             0             0             0             0             0             0 
 26550060.609   25005030.07   25357732.06  26931457.015  24252767.999  23436487.048             0   26189283.12             0             0             0             0             0             0             0 
 26568390.542  25023421.525  25375661.807  26950508.141  24271573.992  23454851.807             0             0             0  25463236.334             0             0             0             0             0 
  26586719.93  25041812.464  25393590.988  26969558.647  24290391.004   23473211.84             0             0             0             0             0             0             0             0             0 
 26605050.095  25060204.191  25411520.871   26988609.82   24309209.25  23491569.907             0             0             0             0             0             0             0             0             0 
 26623379.729  25078595.396  25429450.206   27007660.37  24328019.066  23509932.071             0             0             0             0             0             0             0             0             0 
 26641710.013  25096987.255  25447380.113  27026711.457  24346831.903  23528289.127             0             0             0  25534441.484             0             0             0             0             0 
 26660039.869  25115378.707   25465309.57  27045762.028  24365640.623  23546657.037             0             0             0  25552237.854             0             0             0             0             0 
 26678370.446  25133770.874  25483239.646   27064813.21  24384461.436  23565000.219             0             0             0             0             0             0             0             0             0 
 26696700.553  25152162.601  25501169.255  27083863.836  24403272.672  23583360.352             0             0             0             0             0             0             0             0             0 
 26715031.371  25170555.054  25519099.513  27102915.056  24422082.441  23601724.988             0             0             0             0             0             0             0             0             0 
 26733361.721  25188947.071  25537029.259  27121965.726  24440893.789  23620086.156             0             0             0             0             0             0             0             0             0 
 26751692.813  25207339.832  25554959.661  27141017.016  24459702.548  23638450.164             0             0             0             0             0             0             0             0             0 
 26770023.429  25225732.162   25572889.57  27160067.767  24478510.018  23656811.343             0             0             0             0             0             0             0             0             0 
 26788354.846  25244125.278  25590820.196  27179119.194  24497314.725  23675173.496             0             0             0  25676770.246             0             0             0             0             0 
 26806685.684  25262517.811  25608750.228  27198169.942  24516132.678  23693544.251             0             0             0             0             0             0             0             0             0 
 26825017.362  25280911.175  25626681.054   27217221.41  24534942.325  23711913.987             0             0             0  25712354.305             0             0             0             0             0 
 26843348.585   25299304.11  25644611.381  27236272.337  24553751.651   23730289.18             0             0             0  25730142.796             0             0             0             0             0 
 26861680.449  25317697.687  25662542.287  27255323.787  24572561.717   23748669.55             0             0             0  25747937.035             0             0             0             0             0 
 26880011.914  25336090.886  25680472.772   27274374.76   24591372.38  23767050.132             0             0             0             0             0             0             0             0             0 
 26898344.087  25354484.814  25698403.936  27293426.331  24610182.432  23785437.914             0             0             0             0             0             0             0             0             0 
 26916675.807  25372878.323  25716334.639  27312477.359  24628992.528  23803811.327             0             0             0             0             0             0             0             0             0 
 26935008.209  25391272.526  25734265.968  27331528.956  24647803.982  23822184.028             0             0             0  25819125.172             0             0             0             0             0 
  26953340.08  25409666.231  25752196.743  27350579.935  24666614.853  23840552.952             0             0             0             0             0             0             0             0             0 
  26971672.68  25428060.671  25770128.209  27369631.545   24685426.48   23858908.68             0             0             0  25854711.669             0             0             0             0             0 
 26990004.821  25446454.668  25788059.201  27388682.602  24704237.687  23877263.155             0             0             0   25872500.88             0             0             0             0             0 
 27008337.755   25464849.46  25805990.944  27407734.341   24723049.88  23895619.028             0             0             0   25890291.99             0             0             0             0             0 
  27026670.18  25483243.766  25823922.132  27426785.478   24741861.47  23913981.539             0             0             0  25908082.222             0             0             0             0             0 
 27045003.377  25501638.834   25841854.03  27445837.258   24760673.94  23932333.418             0             0             0             0             0             0             0             0             0 
 27063336.044    25520033.4  25859785.373  27464888.429  24779485.718  23950672.989             0             0             0             0             0             0             0             0             0 
 27081669.354   25538428.61  25877717.261  27483940.129  24798298.021    23969007.1             0             0             0             0             0             0             0             0             0 
 27100002.236  25556823.402  25895648.707  27502991.301  24817109.923  23987359.656             0             0             0             0             0             0             0             0             0 
  27118335.84  25575218.918  25913580.794  27522043.086  24835922.529   24005725.67             0             0             0             0             0             0             0             0             0 
 27136669.061  25593614.062  25931512.501  27541094.416  24854734.428  24024086.548             0             0             0  26014837.985             0             0             0             0             0 
 27155002.953  25612009.907    25949444.8  27560146.299  24873546.653  24042441.193             0             0             0  26032626.738             0             0             0             0             0 
 27173336.326  25630405.264  25967376.538  27579197.579  24892358.386  24060806.613             0             0             0  26050410.079             0             0             0             0             0 
  27191670.49  25648801.434  25985308.984  27598249.525  24911165.722  24079177.083             0             0             0             0             0             0             0             0             0 
 27210004.161  25667197.139  26003240.929   27617300.91  24929972.464  24097546.232             0             0             0             0             0             0             0             0             0 
 27228338.589  25685593.594  26021173.577  27636352.939  24948787.613  24115911.923             0             0             0             0             0             0             0             0             0 
 27246672.532  25703989.602  26039105.687  27655404.396  24967608.775  24134290.003             0             0             0  26121591.726             0             0             0             0             0 
 27265007.296  25722386.408  26057038.521  27674456.542  24986423.814  24152667.244             0             0             0             0             0             0             0             0             0 
 27283341.466  25740782.638  26074970.747  27693508.003  25005240.184  24171041.227             0             0             0             0             0             0             0             0             0 
