           G1           G28           R22           G19           R12            G7            G3            G6            R6           R24            R5           G26           G11           G16           R13           R14            G8           R23           G15           G22           G17            R7           R15           R17            R8           G32           G20            G9            R1           R16            G4           R18            R2           G12            G2            R9           G10           G23           G25           R19           R10           G13            G5            R4           G31           R11           G29           R20           G30           G21           R21           G18           G14 
 22922137.025  22751120.392  20874313.252  21017021.222  21764091.223  20734471.029  23051810.029      24728732  23406468.112  21944864.168  23630736.604  23026924.306  21243294.763             0  19168517.108  20789602.311  20363074.683  19178676.942             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22902705.581  22736475.865  20893011.411  21028909.279  21786457.501  20745333.908   23072406.87  24748474.761  23398119.905  21923202.022  23640557.591   23026045.86  21230408.756             0  19171984.531  20771197.689  20359029.847  19174899.437  25159624.791             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22883322.711  22721857.429   20911774.72  21040874.912  21808886.166  20756298.424  23093025.271  24768225.475  23389905.438  21901597.324  23650510.829  23025300.187  21217617.697             0   19175589.84  20752871.698   20355100.83  19171250.176  25149051.512             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22863986.875  22707265.397  20930606.087  21052917.147  21831376.452  20767364.127  23113670.991  24787985.399  23381823.378  21880050.428  23660586.361  23024684.953  21204924.227             0  19179333.851  20734625.224  20351287.698  19167730.401  25138574.681             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22844700.372  22692699.191  20949499.069  21065035.313  21853931.072  20778532.056  23134341.943  24807747.369  23373873.713  21858565.101  23670792.269  23024200.469  21192327.232             0  19183215.974  20716458.434  20347590.525  19164338.238  25128181.928             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22825462.108  22678156.719  20968456.583  21077230.762  21876546.782  20789802.015   23155037.42  24827516.722  23366057.709  21837140.004  23681119.894  23023847.737  21179827.704             0  19187236.366   20698371.77  20344009.938  19161075.203   25117876.48             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22806273.757  22663642.271  20987478.187  21089500.826  21899223.471  20801171.889  23175758.168  24847292.757  23358377.187  21815773.649  23691570.625  23023625.299  21167424.164             0  19191395.587  20680366.461  20340546.705  19157940.395  25107664.484             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22787134.081  22649153.838  21006561.573  21101846.256  21921963.468  20812643.456  23196501.128  24867072.925  23350827.693  21794468.227  23702146.922  23023532.889  21155119.957             0  19195693.238  20662445.117  20337199.515   19154933.39  25097537.587             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22768045.437  22634690.781  21025706.199  21114267.629    21944761.9  20824215.329  23217267.566  24886857.569  23343416.588  21773222.591  23712843.962  23023573.294  21142914.635             0   19200130.01  20644604.763  20333969.869   19152055.27   25087502.81             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22749006.612  22620254.749  21044913.965  21126761.825  21967622.256  20835886.363  23238057.218  24906648.593  23336137.114  21752040.378  23723668.389  23023743.377  21130807.453             0    19204704.9  20626848.589  20330857.443  19149305.136  25077560.662             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22730021.552  22605845.367  21064179.914  21139329.985  21990541.936  20847657.844   23258869.97  24926446.138  23328996.635  21730918.621  23734614.313  23024044.223  21118798.557             0  19209418.305  20609176.203  20327862.854  19146682.795  25067704.777             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22711087.188  22591462.743  21083507.533  21151972.314  22013517.112  20859529.075  23279707.736  24946241.514  23321991.351  21709859.873  23745678.625  23024477.247  21106890.839             0  19214270.246  20591588.796  20324986.112  19144188.403  25057937.965             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22692204.651  22577107.224  21102894.911  21164687.709   22036555.79  20871500.043   23300563.62  24966045.804  23315120.622  21688863.891  23756866.779   23025038.96  21095082.459             0  19219261.031  20574087.635  20322226.897  19141822.417  25048269.931             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22673378.799  22562779.453  21122339.485  21177476.188  22059647.246  20883568.637  23321443.547  24985852.698  23308389.579   21667930.37  23768174.731  23025731.573  21083374.579             0  19224389.655   20556671.42  20319587.156  19139583.783  25038687.587             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22654604.051  22548477.591  21141842.948  21190336.493  22082801.634  20895736.441  23342344.715  25005660.816  23301789.908  21647061.202  23779602.096  23026555.491  21071767.098             0   19229657.15  20539343.249  20317065.279   19137472.72  25029198.192  25234959.649             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22635885.413  22534205.149  21161404.116  21203267.465  22106007.911  20908002.849  23363265.695  25025473.036  23295332.423  21626255.144  23791148.148      23027510   21060261.25             0  19235062.983  20522102.544  20314661.996   19135489.42  25019803.783    25226664.2             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
